word,definition
box,A container typically constructed with four sides perpendicular to the base and often having a lid or cover.
boy,A male child.
bra,A brassiere.
bro,Slang   A brother.
brr,"An expression used to express being cold, to show shivering."
bub,"Slang   Used as a term of familiar address, especially for a man or boy:  See you around, bub. "
bud,"Botany   A small protuberance on a stem or branch, sometimes enclosed in protective scales and containing an undeveloped shoot, leaf, or flower."
bug,A true bug.
bum,A tramp; a vagrant.
bun,"A small bread roll, often sweetened or spiced and sometimes containing dried fruit."
bur,A rough prickly husk or covering surrounding the seeds or fruits of plants such as the chestnut or the burdock.
bus,"A long motor vehicle for carrying passengers, usually along a fixed route."
but,On the contrary:  the plan caused not prosperity but ruin. 
buy,To acquire in exchange for money or its equivalent; purchase. See Regional Note at boughten.
bye,A secondary matter; a side issue.
bys,Plural form of by.
cab,A taxicab.
cad,A man whose behavior is unprincipled or dishonorable.
caf,cafe; cafeteria.
cal,calorie (mean calorie)
cam,"An eccentric or multiply curved wheel mounted on a rotating shaft, used to produce variable or reciprocating motion in another engaged or contacted part."
can,Used to indicate physical or mental ability:  I can carry both suitcases. Can you remember the war? 
cap,"A usually soft and close-fitting head covering, either having no brim or with a visor."
car,An automobile.
cat,A small carnivorous mammal (Felis catus or F. domesticus) domesticated since early times as a catcher of rats and mice and as a pet and existing in several distinctive breeds and varieties.
caw,The hoarse raucous sound that is characteristic of a crow or similar bird.
cay,"A small, low island composed largely of coral or sand."
cee,The letter c.
cel,A piece of celluloid on which has been drawn a frame of an animated film.
cep,See porcino.
chi,The 22nd letter of the Greek alphabet. See Table at alphabet.
cig,cigarette
cis,Having two mutations on two genes on the same chromosome of a homologous pair.
cob,A corncob:  corn on the cob. 
cod,"Any of various marine fishes of the family Gadidae, especially Gadus morhua, an important food fish of northern Atlantic waters. Also called codfish."
cog,"One of a series of teeth, as on the rim of a wheel or gear, whose engagement transmits successive motive force to a corresponding wheel or gear."
col,A pass between two mountain peaks or a gap in a ridge.
con,In opposition or disagreement; against:  debated the issue pro and con. 
coo,To utter the murmuring sound of a dove or pigeon or a sound resembling it.
cop,Informal   A police officer.
cor,A Hebrew measure of capacity; a core or homer.
cos,See romaine.
cot,"A narrow bed, especially one made of canvas on a collapsible frame."
cow,The mature female of cattle of the genus Bos.
cox,A coxswain.
coy,Tending to avoid people and social situations; reserved.
coz,Informal   A cousin.
cru,A vineyard or wine-producing region in France.
cry,"To sob or shed tears because of grief, sorrow, or pain; weep."
cub,"The young of certain carnivorous animals, such as the bear, wolf, or lion."
cud,Food regurgitated from the first stomach to the mouth of a ruminant and chewed again.
cue,Games   A long tapered rod with a leather tip used to strike the cue ball in billiards and pool.
cum,Together with; plus. Often used in combination:  our attic-cum-studio. 
cup,"A small open container, usually with a flat bottom and a handle, used for drinking."
cur,A dog considered to be inferior or undesirable; a mongrel.
cut,To penetrate with a sharp edge; strike a narrow opening in.
cuz,because
cwm,See cirque.
dab,To apply with short poking strokes:  dabbed some paint on the worn spots. 
dad,Informal   A father.
dag,A lock of matted or dung-coated wool.
dah,The spoken representation of a dash in radio and telegraph code.
dak,"A post system by means of transport relays of horses stationed at intervals along a route or network, carrying mail and passengers."
dal,Variant of dahl.
dam,A barrier constructed across a waterway to control the flow or raise the level of water.
dan,Any of 12 levels of proficiency at the grade of black belt in martial arts such as judo and karate.
dap,To fish by letting a baited hook fall gently onto the water.
das,"Symbol for the decasecond, an SI unit of time equal to 101 seconds."
daw,A jackdaw.
day,The period of light between dawn and nightfall; the interval from sunrise to sunset.
deb,Informal   A debutante.
dee,The letter d.
def,Slang   Excellent; first-rate.
del,The symbol used to denote the gradient operator.
den,The shelter or retreat of a wild animal; a lair.
dep,deposit
dev,developer
dew,"Water droplets condensed from the air, usually at night, onto cool surfaces."
dex,Slang   Dextroamphetamine.
dey,Used formerly as the title of the governor of Algiers before the French conquest in 1830.
dib,"to dig a hole by poking; especially, to dig a small hole in soil for the purpose of planting a bulb or seed"
did,Past tense of do.
die,To cease living; become dead; expire.
dif,difference
dig,"To break up, turn over, or remove (earth or sand, for example), as with a shovel, spade, or snout, or with claws, paws or hands."
dim,Lacking in brightness:  a dim room. 
din,"A jumble of loud, usually discordant sounds. See Synonyms at noise."
dip,"To plunge briefly into a liquid, as in order to wet, coat, or saturate."
dis,Informal To show disrespect to, often by insult or criticism.
dit,The spoken representation of the dot in radio and telegraph code.
doc,"Informal   A physician, dentist, or veterinarian."
doe,The female of a deer or related animal.
dog,A domesticated carnivorous mammal (Canis familiaris) related to the foxes and wolves and raised in a wide variety of breeds.
doh,Error finding definition.
dol,The unit of measurement for pain
dom,"A dominator (in sadomasochistic sexual practices), especially a male one."
don,Used as a courtesy title before the name of a man in a Spanish-speaking area.
dor,"A large European dung beetle, Geotrupes stercorarius, that makes a droning noise while flying."
dos,Plural form of do.
dot,A tiny round mark made by or as if by a pointed instrument; a spot.
dow,To be worth.
dry,Free from liquid or moisture:  changed to dry clothes. 
dub,To tap lightly on the shoulder by way of conferring knighthood.
dud,"A bomb, shell, or explosive round that fails to detonate."
due,Payable immediately or on demand.
dug,"An udder, breast, or teat of a female animal."
duh,"Used to express disdain for something deemed stupid or obvious, especially a self-evident remark."
dui,Plural form of duo.
dum,Syllable used when humming a tune.
dun,To importune (a debtor) for payment:  a dunning letter. 
duo,"Music   A duet, especially two performers singing or playing together."
dup,"to open (a door, gate etc.)"
dye,A substance used to color materials. Also called dyestuff.
ear,"Anatomy   The vertebrate organ of hearing, responsible for maintaining equilibrium as well as sensing sound and divided in mammals into the external ear, the middle ear, and the inner ear."
eat,To take into the body by the mouth for digestion or absorption.
eau,"Water: a word designating various spirituous waters, particularly perfumes and cordials; it also enters into several French heraldic phrases."
ebb,Ebb tide.
eco,Environmentally friendly or sensitive.
ecu,"The European Currency Unit, a currency used in the European Community before the euro."
edh,"eth; A letter appearing in Old English, Old Saxon, Old Norse, and modern Icelandic to represent an interdental fricative."
eds,a rapid automatic system to detect plastic explosives in passengers' luggage using X-ray technology and computers; designed for use in airports
eek,Representing a scream or shriek (especially in comic strips).
eel,"Any of various long, snakelike, scaleless marine or freshwater fishes of the order Anguilliformes or Apodes that lack pelvic fins and characteristically migrate from fresh water to salt water to spawn."
eew,Alternative spelling of ew.
eff,Fuck.
efs,"Plural form of ef., the name of the letter F."
eft,"An immature newt, especially the reddish-orange terrestrial form of a North American species, Notophthalmus viridescens."
egg,A female gamete; an ovum. Also called egg cell.
ego,"The self, especially as distinct from the world and other selves."
eke,To supplement with great effort. Used with out:  eked out an income by working two jobs. 
eld,"One's age, age in years, period of life."
elf,"A small, often mischievous creature considered to have magical powers."
elk,See wapiti.
ell,A wing of a building at right angles to the main structure.
elm,"Any of various deciduous trees of the genus Ulmus, characteristically having arching or curving branches and serrate leaves with asymmetrical bases. Elms are widely planted as shade trees."
els,Plural form of el.
eme,An uncle.
emo,A particular style of hardcore punk rock
ems,Plural form of em.
emu,"A large, flightless Australian bird (Dromiceius novaehollandiae) related to and resembling the ostrich and the cassowary."
end,Either extremity of something that has length:  the end of the pier. 
eng,"The Latin-based letter formed by combining the letters n and g, used in the IPA, Saami, Mende, and some Australian aboriginal languages."
ens,Plural form of en.
eon,An indefinitely long period of time; an age.
era,A period of time as reckoned from a specific date serving as the basis of its chronological system.
ere,Previous to; before.
erg,The centimeter-gram-second unit of energy or work equal to the work done by a force of one dyne acting over a distance of one centimeter.
ern,Alternative spelling of erne.
err,To make an error or a mistake.
ers,Third-person singular simple present indicative form of er.
ess,The letter s.
est,Abbreviation of established.
eta,The seventh letter of the Greek alphabet. See Table at alphabet.
eth,Variant of edh.
